"会議開始からの時刻","日付","時刻","話者","タグ","発言内容"
"00:10:21","2026/01/15","13:43:24","speaker6","","唯一の社長だったんですね。彼がその幽霊ビルを爆破解体で倒すという話を私にしたんで、馬鹿なこと言うんじゃないよと。少なくとも俺はもう解体ではこの、この世の中で何本かの指に数えられる男なんだと"
"00:10:40","2026/01/15","13:43:43","speaker3","","んな。後ろは山出前はあの日狭いところにですね湖西線っていうJRが走ってるわけですね。JRと並んで国道があるんですけども"
"00:10:57","2026/01/15","13:44:00","speaker3","","その脇にビルがあるんです。"
"00:11:00","2026/01/15","13:44:03","speaker6","","滋賀県もそれこそ滋賀県警も許可をするわけがないと、だからくだらないことを考えるんだとお前は馬鹿じゃないかっつって、ずいぶん話をしたんですが、"
"00:11:15","2026/01/15","13:44:18","speaker6","","何日かしたらですね、"
"00:11:18","2026/01/15","13:44:21","speaker6","","新聞に大きく琵琶湖のU0ビル爆破解体決定という記事を見たんですね。"
"00:11:27","2026/01/15","13:44:30","speaker6","","しょうがない。"
"00:11:29","2026/01/15","13:44:32","speaker6","","行かざるを得なくなって、"
"00:11:32","2026/01/15","13:44:35","speaker6","","行きました。確かに"
"00:11:35","2026/01/15","13:44:38","speaker6","","すごかったんすよ。そうだ。義憤テレビがですね、日本テレビが大キャンペーンをやってですね、どんな僕はCU0ビル解体大作戦ということで、4回ぐらい日本テレビがですねワーッとキャンペーンをやったんですね。当日"
"00:11:57","2026/01/15","13:45:00","speaker6","","湖西線のJR"
"00:12:00","2026/01/15","13:45:03","speaker3","","JRがですね、2時間"
"00:12:03","2026/01/15","13:45:06","speaker3","","線路を止めたんですよ。それで保線の連中たちがずっと向こうの線路のところに並んでもし爆破でですね線路がゆがんだりなんかすると違うんですが、補正のレンジでずっと並んで上にはヘリコプターが何機ワーッと飛んでですね、"
"00:12:22","2026/01/15","13:45:25","speaker6","","お客といいますか観客はあの田舎の何もない田んぼの中にですね4万人のお客人が集まったんですよ。私は一生懸命写真撮っててさあっちこっちこう言ったんですがねもうとにかく田んぼの中人だらけですよ。"
"00:12:37","2026/01/15","13:45:40","speaker3","","5月なんですね田んぼもない植わってたんです。"
"00:12:44","2026/01/15","13:45:47","speaker3","","ちょっとくぼみが入ったときにそこにねもう押し出された蛇がいっぱいと思っててねもうそれこそえらいことだったんです。写真を写真撮り終わって全部終わってバーンと倒れてものすごい埃でですね。箱田箱田氏には韓国のボイラーを教えず横にするだけの話ですね。要するに"
"00:13:06","2026/01/15","13:46:09","speaker3","","爆発解体っていうのは今度やりますけども、爆破解体っていうのは本来、中を先に落としてですねずっとね、上の重みで中、中を先に爆破させておいて、上のゴミで中に畳み込んでいく盛業葉っぱというのが本来の葉っぱなんです。いわゆるコントロールした葉っぱが盛業葉っぱって言うんすか。"
"00:13:30","2026/01/15","13:46:33","speaker6","","韓国でやろうとしたかこのやろうとしたことも今回の琵琶湖の話もですね、全部とにかくやりっぱなしの葉っぱなんですよこれはね要するに、どっかの前足をぶっ飛ばすとか何かしてですね、空間を作って倒すというやりっぱなしの葉っぱで、何の意味もないんですけども、とりあえず今回の逆もそうだったら横にして結局"
"00:13:54","2026/01/15","13:46:57","speaker6","","その唯一の社長若いやつはですね、その解体工法で一儲けしようとしたんです。爆破解体室も休止結局、あれほど県警がですね、出てきて、JRが出てきて日本テレビが出てきてって大騒ぎだったんすよ。結局、倒したまま倒産して終わっちゃったんすよ。"
"00:14:19","2026/01/15","13:47:22","speaker3","","それから20数年倒れたまんまです。"
"00:14:23","2026/01/15","13:47:26","speaker6","","やっと滋賀県がどうしようもないんであの土地を買い切って買ってですね、公園に作り直したというのが顛末です。韓国の今回やったのも過去っていう、我々も解体の仲間なんですが、過去とは何回も一緒にやりましたけども"
"00:14:45","2026/01/15","13:47:48","speaker6","","北海道でも失敗しておりますし、いっぱいあちこちで失敗してるやつです。このいい加減な店頭と我々の店頭を一緒にしてもらっちゃ困るということを言っといて本題に入ります。名古屋観光ホテルでしょう。"
"00:15:07","2026/01/15","13:48:10","speaker6","","1936年に開業した名古屋観光ホテルが30年間ぐらいですねやってこういうモダンな18階建てのビルに生まれ変わるという、この古い解体を私確か25歳のときだろうと思いますんで、60年ぐらい前ですね、東京から来た"
"00:15:35","2026/01/15","13:48:38","speaker3","","光買いたいという連中たちがすね。鉄球で、門拳という鉄の球を振ってですね、まだ油圧のユンボのない時代で、バックを手で全部がガーッとは言う全部ワイヤーでですねやるのと、ブレーカーも油圧のぶれがなくてブレーカーで要するに手でやるブレーカーと、それが大きくなったら機械ついてると思ってもらったらいいですね。"
"00:16:02","2026/01/15","13:49:05","speaker5","","だからそれとブルドーザーとブルドーザーと球を振るも犬とバックこれで解体をするっていうあれをやってですね最後に"
"00:16:18","2026/01/15","13:49:21","speaker5","","向こうからの低い方ですね123市でも投与含めると5回ありますか最後の壁一面をですね、大きな壁一面をブルドーザー2台で引っ張ってですね、壁を通して逃げる場所がなくてですねブルドーザーのオペレーター2人はですね、引っ張ってか壁が倒れてくると頭をさっと下げるんですね。下げたところが壁が後ろ倒れて爆風が"
"00:16:45","2026/01/15","13:49:48","speaker5","","頭の上がさっと通り過ぎていくと、もう本当にかっこいい際どい。"
"00:16:50","2026/01/15","13:49:53","speaker3","","隣が朝日新聞の名古屋支社で朝日新聞の連中たちもですね。だから我々は女々しい食べに行く食堂のおばちゃんたちも全部見に来てですね、拍手してくれたんですが、当時は心臓の事を気にしてもよかっしなくてもよかったですね。壁倒しまして、"
"00:17:10","2026/01/15","13:50:13","speaker6","","一つ残念だったのは、後ろに煙突があるんですね左側の奥に最後の壁を倒すときにですねサンタクロースの煙突のやつが壁に"
"00:17:25","2026/01/15","13:50:28","speaker5","","くっついたままの煙突があって壁倒しに煙突を縁を切らないと、こっちが倒れないんで。"
"00:17:34","2026/01/15","13:50:37","speaker3","","後ノブてのハンドブレーカーで聞いてたのが、"
"00:17:40","2026/01/15","13:50:43","speaker5","","結構悪かったんで一つね、くり抜いてですね、中に入って、内側から外側と内側で両方で始めたんですね。ところが、なんかレンガの内張りがあったんで"
"00:17:57","2026/01/15","13:51:00","speaker3","","レンガがドサッと落ちてですね、中で外れたがそのままレンガで埋まってしまったんですね。幸い、命は助かりましたけども、彼を助けてくれと出したお手はですね、法で用いれてですね、"
"00:18:16","2026/01/15","13:51:19","speaker3","","形の"
"00:18:19","2026/01/15","13:51:22","speaker6","","今日はですね、手袋の中に入ったもん転がってましたんで、そんな不幸なことがありました。元請大林だったんですが、結局そういうことがあって2人、ここでけが人出しましたけども、無事に終わって、"
"00:18:38","2026/01/15","13:51:41","speaker6","","何日か前にこの観光ホテルに無理を言って少し1万7000円で少しね宿泊費たかったんですけども、何とか無理を言って止めさせていただいて、フロント行ってですね、"
"00:18:56","2026/01/15","13:51:59","speaker6","","な、ここ俺が壊したんだよと言ったけど、みんなポップアップで喋って"
"00:19:03","2026/01/15","13:52:06","speaker6","","ということで東京の連中たちが来ても県と頭を振って解体した。これが私の解体のスタートでした。はい。"
"00:19:18","2026/01/15","13:52:21","speaker6","","電気化学で7年ものいわゆる中内くんたちがやって爆発事故を起こしてあの火災が起こしたあるいは2世代目の支援者側ですこれは初代の支援者はです。"
"00:19:34","2026/01/15","13:52:37","speaker6","","初代の痴れ者もあの解体をもうこれは私は直接やらなかったここの見積もりだけをやってくれっていうことで、見積もりをやって、このときにスクラップいくらあるっていうことで、5000tあると"
"00:19:52","2026/01/15","13:52:55","speaker6","","言った5000tがですね、後から測ったら5500tあったんですね。それで土屋商店っていうスクラップ屋さんがそれを買って500tスクラップ屋さんで儲かったんすね。"
"00:20:06","2026/01/15","13:53:09","speaker6","","そのプラス10%マイナスじゃ駄目ですねスクラップ減っちゃ駄目ですね5000t+10%、500500tが福井商みたいになりましてですね私名古屋から出てきてママもない頃に、"
"00:20:30","2026/01/15","13:53:33","speaker6","","お前の見積もりは、"
"00:20:33","2026/01/15","13:53:36","speaker6","","天下一品だという折り紙がついた瞬間ですねこれはいやいや、いい加減にやったんですよ。わからないんだもんね。本当にいい加減にやったんすよ。それが結果が良かったっていうこのことがですね、"
"00:20:48","2026/01/15","13:53:51","speaker6","","出光興産との出会いになります出光興産に同じトクヤマに支援者もあってですね"
"00:21:00","2026/01/15","13:54:03","speaker6","","その品物場の解体をですね、鹿島だとか日揮だとかっていうね、大手の会社がですねとんでもない高い値段を出して見積もりをしてたのは私ただでやると言ったんですね。スクラップくれたらただでやってたらね、あの工場長がなんだっていうことになったんすね。"
"00:21:20","2026/01/15","13:54:23","speaker6","","お前らは何を言ってんだっていうようなことになったんすか。いや、現に千葉の電気化学でやってますと同じ出演者がやってますから。本当かって言うからわざわざですね、清水っていう工場の担当者がですね、夜行列車に乗ってきて、電気を区の人の案内で、我々の現場を見て帰ってですね、本当にやってるということで、出光の工事をやれと"
"00:21:48","2026/01/15","13:54:51","speaker6","","こういうことになって私出光の出会いがこの電気化学のスチレンモノマーから、ここ以後ずっと出光の仕事をやるようになりまして後は千葉、千葉の工場はですね、全部、全部徒歩ほとんどっていうのは全部10年間ぐらい全部"
"00:22:09","2026/01/15","13:55:12","speaker6","","あの解体工事は私がやってきました。しかも、"
"00:22:15","2026/01/15","13:55:18","speaker6","","出光の当時の工場長、専務だったんですが、吉野さん、あなたの知恵を、出光のためにこれからも生かしてくれと言って、私だけ特別に工場長の部屋に月に何回か呼んでくれて上等な紅茶をいただいて、作業着のまま、事務所の素晴らしい応接室のレースのかかってるところこんなおろしていかなきゃこんなお尻でちょこっとだけ乗せて上等な紅茶をいただきながらですね。"
"00:22:50","2026/01/15","13:55:53","speaker6","","出光の将来をずっと話し合ってきましたここにだけにしろと外では言うなよということで、出光のこの右翼の国粋主義と"
"00:23:08","2026/01/15","13:56:11","speaker6","","共産主義の違いがどこにあるのかと"
"00:23:12","2026/01/15","13:56:15","speaker6","","このこんなことやってたら出光は駄目になりますという話をしょっちゅう工場長の部屋でやりました絶対に外では言うなよということで、そのときに専務"
"00:23:27","2026/01/15","13:56:30","speaker6","","あと1001年でね、定年退職になるわけですから、ぜひとも出光を、こんな会社のままにしておいてはいけませんと経理を公開して、労働組合を作って、残業も日曜出勤も定年制もきちっとやって普通の会社にしないと"
"00:23:48","2026/01/15","13:56:51","speaker6","","こんな会社に誰も寄りつきませんという話をして、その工場長は結局話だけで何もできずに終わってそれそれから数年後に出光はですね、一族試合が終わって、生まれ変わって、店舗さんっていう経理の担当の方が社長になって、今素晴らしい会社になりました。"
"00:24:14","2026/01/15","13:57:17","speaker3","","はい、次行きましょう。"
"00:24:20","2026/01/15","13:57:23","speaker6","","これ横浜の横浜火力のあるところで横浜火力の北側に日塔格っていう11万坪のか、あの会社がある。これは昔外務大臣だった藤山一郎さんが持ってた会社です。"
"00:24:35","2026/01/15","13:57:38","speaker6","","総理大臣になれずに終わってしまった藤山愛史朗さんの大日塔化学が不況になって11万坪のうち8万坪を解体して東京電力に売り渡すとこういうことになりまして、その8万坪の"
"00:24:54","2026/01/15","13:57:57","speaker6","","お見積もりを全見積もりをやってくれということで、私が8工区に分けてですね、全見積もりをやりました。スクラップの量コンクリートの両保温材の量工事費がいくらかかるかということを全部積算をしまして、大きな表を作ってですね、リート価格の本社へ出して10何社がですね、"
"00:25:23","2026/01/15","13:58:26","speaker6","","入札で、朝から晩までごめんなさい。現場現場説明ということで、朝から晩までやりました。そのときにお昼になってですね。"
"00:25:40","2026/01/15","13:58:43","speaker3","","重要な所、大林も三菱建設もいたんですよ。丸善主将もいたし、みんな、Dの業者全員がですね、揃って食堂行くときに、資材部長が本社の資材部長吉野さんちょっとお待ちくださいって言うから、待ってたら"
"00:25:59","2026/01/15","13:59:02","speaker6","","工場長の部屋にですね、弁当が用意してありました。"
"00:26:05","2026/01/15","13:59:08","speaker6","","みんな食堂行ってるんすけども、吉野さん、今度の仕事をお願いしますと"
"00:26:10","2026/01/15","13:59:13","speaker6","","好きなだけやってくださいと言って、8工区のうち3工区私がやったんす。たった1人の時代ですよ。3工区やりまして、私がこのときに発注したのが、"
"00:26:28","2026/01/15","13:59:31","speaker6","","光解体に発注し、光で解体が渡辺解体工業に発注するということでやりました全体の工事2年ぐらいかかりましたけども、これを全部私がたった1人で取り仕切りました。"
"00:26:50","2026/01/15","13:59:53","speaker6","","日塔博にものすごい利益を生みました。"
"00:26:55","2026/01/15","13:59:58","speaker6","","これ私の部屋の入口に飾ってですねみんな誰も見ないんで、ちょっとだけ説明させてください。ボイラーっていうのはですね、"
"00:27:05","2026/01/15","14:00:08","speaker6","","ボイラーっていうのは、三菱があったり、日立がたりあとなんだ日三菱日立石川島全てですね。石川島はFWっていう。"
"00:27:20","2026/01/15","14:00:23","speaker6","","日立はバブコック三菱はCEというバブ国はイギリスの会社ですけどCEとFWはアメリカの会社です。"
"00:27:36","2026/01/15","14:00:39","speaker6","","全部ライセンスをもらって、日本のメーカーが作るという、あのボイラー日本の独自の技術はないんですないんです。全部外国のライセンスです。"
"00:27:49","2026/01/15","14:00:52","speaker6","","これはネットワークにあった私が壊したボイラーですが、1929年と書いてあります。"
"00:28:03","2026/01/15","14:01:06","speaker6","","戦後は全部、バブ国日立という名前に変わったんですが、これはバブ国が直接日本に工場を作ってボイラーを作ったんです。"
"00:28:16","2026/01/15","14:01:19","speaker6","","私1941年の生まれですから私よりも一回りぐらありきになるんですね。そのぐらいもう100年、29年まもなく100年なんですね。という値打ちのあるやつ、たまに私の部屋来るときあったら、これを見てやってください。"
"00:28:36","2026/01/15","14:01:39","speaker3","","はい。よいしょ"
"00:28:38","2026/01/15","14:01:41","speaker6","","それから私のこの次のお仕事はこれ先にお話しましたニットー価格がですね、ニットー価格が鹿島に鹿島にですね、三菱当時の三菱が今三菱化学ですけど、三菱床と合弁でですね、アンモニアを作る工場を"
"00:29:01","2026/01/15","14:02:04","speaker6","","50%50%の出資で鹿島に作りましたそのオペレーションは全部日塔格がやったんですね。その横浜の実績でもう1回、鹿島の見積もりをやってくれってことで、鹿島の全面解体です見積もりをやってやろうとしたら、"
"00:29:23","2026/01/15","14:02:26","speaker6","","その跡地をですね、三菱床が買うということで、急遽ですね、解体を三菱でやるということになったんですね。もうほとんど仕事はできてんですけどもなんか上が変わっちゃったんですね。で、羽田にある土屋商店という。"
"00:29:47","2026/01/15","14:02:50","speaker6","","これスクラップ屋さんです。これ三菱商事のデイリーのスクラップ屋さんがその窓口になったんですがとてもできないということで、吉野さん手伝ってよということで、ここで私は1年間"
"00:30:05","2026/01/15","14:03:08","speaker6","","現場の所長すよやることんなったんす。だからこれは土屋商店の現場所長ということで、横浜はベッセルでやりましたけど今度は土屋商店の所長ということで、"
"00:30:24","2026/01/15","14:03:27","speaker6","","3社これ、シンプルな子扱い説明3社渡辺解体工業新東洋土木朝日工業っていう当時、日本のトップの解体"
"00:30:40","2026/01/15","14:03:43","speaker6","","いやさ、3社を傘下に置いて、その現場所長を1年間やりました。結果的に8万6,000時間無事故無災害ということで終わりましたけれどもここにですね、このSIPローダーがありました。"
"00:31:01","2026/01/15","14:04:04","speaker6","","下にある、これが市プロだ。"
"00:31:06","2026/01/15","14:04:09","speaker6","","だったんですが、岸壁がですね岸壁の強度が150tのプレーンしか入れられないっていうことで、南進重機の150tクレーンを入れたんですが技術はもうそれ以上は入れないということです。"
"00:31:23","2026/01/15","14:04:26","speaker6","","この機械は三井三池の製品で、アンモニアをですね、直接本線に積み込むための地区ローラーでしたこれのシャトルは寝るんですけども、寝るんですけどもこれ今立ったまんまになってますね。"
"00:31:44","2026/01/15","14:04:47","speaker6","","向こう向こうの大きな写真見てもらうとあるいは全体の図で左側にあるあの煙突が150メーターのRCの煙突で、あの左側はもう隣の工場三菱自メラミンっていう工場で20メーターしか離れてないんですねとなりしかもその間に"
"00:32:06","2026/01/15","14:05:09","speaker3","","ものすごいメインのパイプラックがあの"
"00:32:10","2026/01/15","14:05:13","speaker6","","上じゃなくて地面の上にですねばあっとスリッパの状態であるということで110mの煙突をやって右側にプロだが、2台2台ありまして、真ん中はアンモニアの合成等があると"
"00:32:27","2026/01/15","14:05:30","speaker6","","いう70メーターの煙突もどっかにあるんですけれども、横にあるんですか。"
"00:32:35","2026/01/15","14:05:38","speaker6","","あの150mの煙突を壊すお金がですね、3000万円しかなかったんですよ。今だったら多分3億ぐらい必要だろうと思いますけども、3000万円の予算でとりあえずこのとんでもない工事をですね、ギリギリの値段で発注をして、"
"00:32:56","2026/01/15","14:05:59","speaker6","","3社が各々やるとこのときに渡辺解体工業の現場の責任者で来てたのが今の渡辺解体工業の社長の渡辺龍石が1年間私の子分だったわけです。"
"00:33:12","2026/01/15","14:06:15","speaker6","","だから彼は今でも私には頭が上がりませんもうとにかく1年間、私が仕込みましたから。こんときに、"
"00:33:24","2026/01/15","14:06:27","speaker6","","一つ皆さんあの工事の方いるんで命がけの話をさせてください。このCIPローターのシャトル、あれね。下3分の1残して上3分の2、途中で切って取ったんで重量は三井幹が重量を教えてくれないんですよ。で、この150億円の計画がですねいっぱいが50tなんです。"
"00:33:48","2026/01/15","14:06:51","speaker6","","50分しか釣れないんですよ。だから全部シャトルを全部忘れないんで、3分の1残して3分の2に移ったんです。もう1回先のもう1回戻してもらえますか。"
"00:34:01","2026/01/15","14:07:04","speaker6","","これですあの、このオペレーターの顔映ってんのかなこの左側にですね、この上のシャトル3分の"
"00:34:14","2026/01/15","14:07:17","speaker6","","2をですね、つったんですけども、どうなったかっていうとですね、"
"00:34:21","2026/01/15","14:07:24","speaker5","","倒れ防止はしてですね、ワイヤーかけるの大変でした7名のやつを危うくしなきゃいかんしかも、丸いところは全部角ばったってワイヤーかけなきゃいけないからね大きな巻きをしてですね、やったんです。"
"00:34:40","2026/01/15","14:07:43","speaker5","","全部切って切り終わって、"
"00:34:45","2026/01/15","14:07:48","speaker5","","としたら、引っかかったんです。"
"00:34:49","2026/01/15","14:07:52","speaker3","","暗くなったんですよ。"
"00:34:51","2026/01/15","14:07:54","speaker3","","亡くなったんです。"
"00:34:53","2026/01/15","14:07:56","speaker3","","どうにもならない。もうくんが目いっぱいになっちゃうした海ですしね。目いっぱいなんすよ。どうにもならんですよ。"
"00:35:00","2026/01/15","14:08:03","speaker6","","荒巻っていうオペレーターと私、キャタピラーの上に乗ってですね。"
"00:35:07","2026/01/15","14:08:10","speaker6","","もう10分間ぐらいやったんですけども、引っかかってるからどうしようもないんで、"
"00:35:14","2026/01/15","14:08:17","speaker5","","一つ方法はですね、"
"00:35:16","2026/01/15","14:08:19","speaker3","","ブームを前に倒すことなんですね一番危険なことなんですよ分を前に倒しながら下ろすという。外すということでも、これをやると、学校外れるわけですね。もう荷物がぱっと向こうに触れるんですね。"
