"会議開始からの時刻","日付","時刻","話者","タグ","発言内容"
"00:17:30","2026/01/15","13:53:58","speaker1","","いうことで、科学というのは全て数字で表せると、数字で表さなきゃいかん。それは誰がやっても同じ結果が得られなきゃいかん。例えば、おばけを見たとか言う方を見たとか、いろんな人がおりますけれども、どういう条件を与えればおばけが出てくるのかと"
"00:17:52","2026/01/15","13:54:20","speaker1","","何月何日のどんな時間帯で、気温はないランドで、思想はどのぐらいで、というような条件をね用意すればおばけが出るのかっていう。これは科学ではない。科学は必ず"
"00:18:08","2026/01/15","13:54:36","speaker1","","誰がやっても同じ結果を作らなきゃいかんと、こういう、これが我々の湯石さんの技術だろうというふうに思います。積み上げで積み上げてですね、きちっとしたデータを積み上げてやっていくっていうのが関さんの技術だと思います。"
"00:18:25","2026/01/15","13:54:53","speaker1","","しかし、これは学者さんのやることであって、今日これから我々があれをするのはそうじゃない部分、それはそれで必要なんです積算は非常に必要なことです積み上げることが必要。しかし、積算では全部が積み上がらないんです。"
"00:18:42","2026/01/15","13:55:10","speaker1","","必ずB得ない部分できない部分が残るんですね。"
"00:18:49","2026/01/15","13:55:17","speaker1","","間を働かせる、いわゆる人間が持ってる五感をどうやって働かせれば何かの兆しが見えてくるのか答えが見えてくるのかというようなこのことを少し話したいと思います。どの段階でもいいですから質問ください。どうしても言いにくいっていう方はですね、"
"00:19:16","2026/01/15","13:55:44","speaker1","","今日終わってそこから超えてましたか。確か。"
"00:19:22","2026/01/15","13:55:50","speaker1","","どっからですか。"
"00:19:25","2026/01/15","13:55:53","speaker1","","ミュートに使用された音声が入っちゃったけど大丈夫そう。大丈夫。なんか今日はあの、希望者は終わってからですね、あの町中華で一杯やるという予定もあるようですからそこでまた質問いただいても結構です。"
"00:19:44","2026/01/15","13:56:12","speaker1","","次参りましょう。"
"00:19:46","2026/01/15","13:56:14","speaker1","","そうだ。雪は天から送られた手紙であるとこの言葉話はないですね。仲良くしろ先生は北大の教授でちょうどこれから冬になってですね、雪の研究したかったですから札幌でいっぱいやってるんですよ。"
"00:20:03","2026/01/15","13:56:31","speaker1","","外に出ると雪が降ってる雪が降ってると手に取るんですね。"
"00:20:08","2026/01/15","13:56:36","speaker1","","こんな雪が降ってきたなということは、上空5000メーターの気象状況はこういう気象状況だろうなというふうに彼はわかるわけですよ。何回も実験して雪を作ってますから"
"00:20:25","2026/01/15","13:56:53","speaker1","","雪は天から送られた手紙であると、こういう名言を残されました。はい。今度は株の良さでは天下一品のユダヤの商法ってこれは選挙72年に出た本です。"
"00:20:42","2026/01/15","13:57:10","speaker1","","100万部以上が売れまして、今も新しい進化となってこれはもう進化となった表紙ですけど、新装版と下に書いてますけど50年前の本ではないですね。同じものを"
"00:21:02","2026/01/15","13:57:30","speaker1","","もう1回、110何冊書いてるんですね。藤田殿というふうに呼んでください。日本マクドナルドを初めてですね銀座の銀座4丁目の、あの三越の中に50平米の小さな店をですね、立ち上げたんですね。"
"00:21:20","2026/01/15","13:57:48","speaker1","","このフジタ殿はアメリカのマクドナルドと50対50という合弁会社を作って、自ら社長に就任して、三越の有名な岡田さんがまだ三越にいるときにですね、岡田さんが先見性があったんでしょうな。藤田さんにその50平米を貸してですね、その50平米で、"
"00:21:46","2026/01/15","13:58:14","speaker1","","年間1日に100万円"
"00:21:50","2026/01/15","13:58:18","speaker1","","打ったんですね。80円のハンバーガーを年間3億円売り上げて、どっかに書いてますね。"
"00:22:03","2026/01/15","13:58:31","speaker1","","これはいいよ、必ず。"
"00:22:07","2026/01/15","13:58:35","speaker1","","部長でいいっていう。"
"00:22:09","2026/01/15","13:58:37","speaker1","","はい。"
"00:22:11","2026/01/15","13:58:39","speaker1","","うん。いや、これこれこれ通しましょう。次行きましょう。"
"00:22:20","2026/01/15","13:58:48","speaker1","","うん。これも飛ばしました。"
"00:22:25","2026/01/15","13:58:53","speaker1","","だから、もう一度行きましょう。"
"00:22:32","2026/01/15","13:59:00","speaker1","","サンバーが出てきませんか。"
"00:22:38","2026/01/15","13:59:06","speaker1","","これでもいいさ。"
"00:22:42","2026/01/15","13:59:10","speaker1","","ユダヤ油田の承認という場合ですね。"
"00:22:48","2026/01/15","13:59:16","speaker1","","女と串を狙えると"
"00:22:52","2026/01/15","13:59:20","speaker1","","いうふうに言っております。女というのは、そんなては別に差別的に言ってるわけじゃなくて彼がそう言ってるんで。そう言います。女性と大口を狙えと"
"00:23:08","2026/01/15","13:59:36","speaker1","","彼は口の方、販売側の方を狙ったわけですけども元々はアクセサリーをハンドバッグだとかアクセサリーを日本中のデパートに卸してそれを必ず1階で売ってくれと"
"00:23:25","2026/01/15","13:59:53","speaker1","","いうことで、全国のデパートの1階にはフジタ殿の持ってきたダイヤモンドとか宝飾品、これが並ぶということをあそこにありますがいつでも女と口を狙えと"
"00:23:40","2026/01/15","14:00:08","speaker1","","こういう大臣の言葉があります。ダイヤモンドだとか、銀行ですとか、鉄道ですとかこういう受お金を使うのは女性であると"
"00:23:53","2026/01/15","14:00:21","speaker1","","男性はお金の使い方知らない女性を狙わないと商売にならないと、このユダヤ人っていうのは今ずれるが、アジアの国ですけれども今中東で大問題になっているイスラエルのでも、ユダヤ人ってのはイスラエルだけじゃないですよ。"
"00:24:10","2026/01/15","14:00:38","speaker1","","アメリカにもたくさんのユダヤ人がおります。その"
"00:24:18","2026/01/15","14:00:46","speaker1","","アメリカの大井大臣はアメリカ人口の2%しかいないんですね。"
"00:24:24","2026/01/15","14:00:52","speaker1","","ユダヤ人全部、世界中のユダヤ人を全部集めても東京都の人口よりも少ないんです。"
"00:24:31","2026/01/15","14:00:59","speaker1","","社員もそうですしピカソもそうですしルーズアメリカ大統領ルーズベルトもそうだし、もうとにかく"
"00:24:44","2026/01/15","14:01:12","speaker1","","この月"
"00:24:46","2026/01/15","14:01:14","speaker1","","とにかく1からロシアでもそうですしね。とにかくたった2%しかいないユダヤ人が今、アメリカを支配してるんですね。"
"00:25:02","2026/01/15","14:01:30","speaker1","","うるさいトランプでさえもう今イスラエルの味方になって、ガザの問題を無理矢理解決しようとしてますけども、常に"
"00:25:17","2026/01/15","14:01:45","speaker1","","ああいう事態もそうです問題は"
"00:25:23","2026/01/15","14:01:51","speaker1","","今アメリカが"
"00:25:26","2026/01/15","14:01:54","speaker1","","なぜ以前あの国イスラエルをあんなに肩入れするのか、イスラエルと米イスラエルというよりも、ユダヤ人っていうのは、イエスキリストを殺したということで"
"00:25:42","2026/01/15","14:02:10","speaker1","","世界中から批判をされて、店に専念。彼らは労働も民だったわけです。で、イエスキリストを神の子だというふうに、誕生したイエスを譲れユダヤ教にとってみると異端児だったわけですねイエスキリストもユダヤ人なんですよ。"
"00:26:06","2026/01/15","14:02:34","speaker1","","で、そのユダヤ人がユダヤ人のイエスキリストを殺したことが、逆に言うと、西洋人にとってみるとですね、とても許せないということで、第二次世界大戦のあのときにはアウシュビッツを始めとする以前の大弾圧だと600万人が虐殺されたわけですねヨーロッパでということはでも、イエス・キリストも時代人だったんだと"
"00:26:36","2026/01/15","14:03:04","speaker1","","いうふうに考えるとまた変なことでアメリカは今のトランプは何かというと、彼らはキリスト教のプロテスタントです。彼らはキリスト教徒なんですが技術と共闘はユダヤ人と敵味方じゃないかと逆に言うとですね、なんでトランプが以前に肩入れするのかっていうことんなるわけですけれども、"
"00:27:01","2026/01/15","14:03:29","speaker1","","これがまた厄介なことですね。適合を敵がまた味方だということで、要するにユダヤ教があってユダヤ系の中からキリスト教が生まれ、その何百年後にイスラム教が生まれてきたと同じ場所で生まれてるんですがね。"
"00:27:22","2026/01/15","14:03:50","speaker1","","そのお互い宗教の中で最後に現れたイスラム教の教義がどんどん大きくなって、本来霊的同士だったはずのユダヤ教とキリスト教が今一緒になってですね、椅子イスラム教に立ち向かってると、こんな変なことになってるわけです。"
"00:27:43","2026/01/15","14:04:11","speaker1","","本来はアメリカとユダヤはですね、敵対してなきゃいかん。2000年も敵対してきたわけですから、今さら急になっていくんだと不思議なことですけど、イスラム教の台頭がこういうことになったということです。"
"00:28:03","2026/01/15","14:04:31","speaker1","","このマクドナルドの藤田店がですね、"
"00:28:12","2026/01/15","14:04:40","speaker1","","銀座の4丁目のあの三越に店を開いてとんでもない。"
"00:28:20","2026/01/15","14:04:48","speaker1","","誰も信用しなかったんですね。日本でハンバーグハンバーグがハンバーガーが売れるなんてことは誰もCSだと、今ご飯と魚を食べてるこの民族がハンバーガーを食べるわけがないと"
"00:28:35","2026/01/15","14:05:03","speaker1","","ね。せいぜい売れても1日ね15万円ぐらいしか売れないだろうと"
"00:28:42","2026/01/15","14:05:10","speaker1","","いう行った。その店はですね、レジスターが故障するぐらい、一時100万円の売り上げを初日から上げていったということで、伝説的な遊佐の使用法藤田勉が誕生したわけです。で、彼が表した本が、この次の年2972年だと思いますが、ユダヤの商法っていうこの本を"
"00:29:10","2026/01/15","14:05:38","speaker1","","表したこの由来の処方を"
"00:29:15","2026/01/15","14:05:43","speaker1","","見たのが、私も読んで感激しました31歳のときです。レストランを作るちょっと前の話です31歳のときに名古屋でこの本を読んでですね、いたく感銘を受けました。"
"00:29:31","2026/01/15","14:05:59","speaker1","","九州の片田舎に15歳の少年が同じように、この飯田の詳報を読んでですね、とんでもない感激をしてですね、無理やり東京に出てきて、藤田田さんに会いたいと"
"00:29:48","2026/01/15","14:06:16","speaker1","","言って出てくるんです孫正義といいます。"
"00:29:53","2026/01/15","14:06:21","speaker1","","私が31歳孫正義15歳のときの話です。16歳私が上ですね。すいません。"
"00:30:16","2026/01/15","14:06:44","speaker1","","これ孫正義の旅立ちということです。1973年に彼は"
"00:30:30","2026/01/15","14:06:58","speaker1","","何附設高校、久留米大学附設高校か。"
"00:30:36","2026/01/15","14:07:04","speaker1","","そうだね。1年生から2年生になるときだったのかな。"
"00:30:44","2026/01/15","14:07:12","speaker1","","1年生のときに彼はカリフォルニア大学のバークレー校に夏休み利用してですね、語学研修に行くと言ったときに初めて彼は自分の生い立ちを知るんですね合計週の旅行に出た。"
"00:31:02","2026/01/15","14:07:30","speaker1","","安本正義とね、孫正義の報告ですけども、"
"00:31:08","2026/01/15","14:07:36","speaker1","","他の仲間とは外れてですね、外国人ゲートに向かったといわゆる韓国人であったという。"
"00:31:18","2026/01/15","14:07:46","speaker1","","ことですね。その彼が重要な国アメリカを"
"00:31:27","2026/01/15","14:07:55","speaker1","","23ですね。で、その出発前に"
"00:31:33","2026/01/15","14:08:01","speaker1","","彼はあの年という佐賀県の鳥栖というとサガン鳥栖のサッカーのチームのあるとこですが、福岡から"
"00:31:46","2026/01/15","14:08:14","speaker1","","どのぐらい下がるのかを福岡"
"00:31:49","2026/01/15","14:08:17","speaker1","","鳥栖までどのぐらい下がるのか50キロぐらいあるのか。"
"00:31:56","2026/01/15","14:08:24","speaker1","","福岡かな。"
"00:31:57","2026/01/15","14:08:25","speaker1","","だからだとおそらく50キロぐらいでそんなもんだね。ちょうど佐賀県の入口に鳥栖というところがあって、長崎行く線路と、鹿児島行く線路がわかれるところですけどもそこの無番地というところに"
"00:32:15","2026/01/15","14:08:43","speaker1","","おばあちゃんが豚を飼ってて、残飯をですね、毎日遊びに行くのに小さな孫正義はですねそのリヤカーの後ろに乗って、おばあちゃんとですね、ずっとドラム缶に乗っかってる。そう残飯の汁がですね、エリア回引いていくとパチパチがこぼれると、お尻が濡れるわけですよ。"
"00:32:41","2026/01/15","14:09:09","speaker1","","気持ち悪かったけどおばあちゃんが好きだからっつってですね、そのリアカーに乗っていった。その少年が15歳のときに、このマクドナルドの藤田殿のを、このいずれの商法を読んで、"
"00:32:57","2026/01/15","14:09:25","speaker1","","どうしても藤田さんに会いたいと"
"00:33:01","2026/01/15","14:09:29","speaker1","","年から毎日のように電話するんですね。マクドナルド本社、こんな忙しい藤田さんのところで、秘書の人が取り合わないそれはねでも毎日電話するんです。"
"00:33:12","2026/01/15","14:09:40","speaker1","","1週間もそんなことが続いたら、"
"00:33:16","2026/01/15","14:09:44","speaker1","","東京駅ちゃうんですし"
"00:33:19","2026/01/15","14:09:47","speaker1","","来ちゃうんですあれできちゃうんです。"
"00:33:23","2026/01/15","14:09:51","speaker1","","電話押して"
"00:33:27","2026/01/15","14:09:55","speaker1","","藤田社長にお会いしたいと言ったら、いや、藤田さんを車社長は今ここにいませんって言ったら嫌だったら、その同じ部屋に5分間だけいさしてください。同じ空気が吸いたいんですと"
"00:33:42","2026/01/15","14:10:10","speaker1","","言って藤田さんはしょうがないからその子供に会うんですね。で、何の用や指定っていう本を何の用やって"
"00:33:53","2026/01/15","14:10:21","speaker1","","何で橋に毎日電話しよったんやって聞いたら、僕はこれからアメリカに行こうと思いますわ。尊敬する藤田先生、僕はアメリカで何を勉強したらいいか教えてくださいと、それを聞きに毎日のように電話して、東京まで出てきたその子"
"00:34:12","2026/01/15","14:10:40","speaker1","","がそんな数字だったんですが、ストーカー"
"00:34:18","2026/01/15","14:10:46","speaker1","","やったらな"
"00:34:20","2026/01/15","14:10:48","speaker1","","これからコンピュータの時代来るぞと。アメリカ行ってコンピュータ勉強せいやと"
"00:34:26","2026/01/15","14:10:54","speaker1","","言われて、彼はこのアメリカへ行くんですね。そっから先のことは皆さんご存知の話、有名なソフトバンクを作ってですね、何兆円っていう豆腐屋で数えるような今ね、なんか"
"00:34:41","2026/01/15","14:11:09","speaker1","","この前トヨタ追い越した利益を稼いだっつって出てたね。あのとんでもない大社長になります。"
"00:34:50","2026/01/15","14:11:18","speaker1","","この人たちは藤田さんもこの尊さんもそうですけども、感覚的に動いてる人たちですね要するに、非常に先見性のあるものを見ることができる人たちです。"
"00:35:06","2026/01/15","14:11:34","speaker1","","この前私募集しました沢田さんも同じこと言います。18年間赤字を垂れ流し続けていたハウステンボスをですね、誰も引き受けないみんなあそこにいる"
